NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,TIME,OIL_RATE,GAS_RATE,WAT_RATE,WAT_CUT
15/9-F-1 C,24,289.4213617,106.353209,182.0593119,43.34345125,107.3620498,37.93925125,78.93540896,631.47,90439.09,0,2425,631.47,90439.09,0,0
15/9-F-1 C,24,270.2397929,107.643779,171.0527821,47.16752313,99.18701083,60.75657938,70.62710938,1166.46,165720.39,0,2426,1166.46,165720.39,0,0
15/9-F-1 C,24,262.8427475,107.8692342,168.2419773,47.73231021,94.60077021,63.04679979,66.04915063,1549.81,221707.31,0,2427,1549.81,221707.31,0,0
15/9-F-1 C,24,255.5269952,107.9711371,165.5389031,48.53376875,89.98809208,64.54722917,61.40538625,1248.7,178063.52,0,2428,1248.7,178063.52,0,0
15/9-F-1 C,24,247.1990521,108.0520302,162.4222417,49.84450229,84.77681042,65.72369375,56.14790646,1345.78,192602.19,0,2429,1345.78,192602.19,0,0
15/9-F-1 C,24,240.7364169,108.053804,159.8990198,50.29698188,80.83739708,66.93373229,52.20174708,1349.56,194496.27,0,2430,1349.56,194496.27,0,0
15/9-F-1 C,24,235.0209315,108.0416365,157.68322,50.73587854,77.33771146,67.84834792,48.70758354,1345.61,192899.71,0,2431,1345.61,192899.71,0,0
15/9-F-1 C,24,232.7437104,107.9878069,156.7948931,50.11391979,75.94881729,65.70691917,47.37571458,1279.46,184900.31,0,2432,1279.46,184900.31,0,0
15/9-F-1 C,24,233.2977779,107.893239,157.179385,48.92679021,76.11839292,62.79564396,47.61060354,1225.62,177107.86,0,2433,1225.62,177107.86,0,0
15/9-F-1 C,24,231.0888975,107.8769223,156.3989777,48.93862896,74.68991979,62.37683438,46.19584333,1212.9,174608.88,0,2434,1212.9,174608.88,0,0
15/9-F-1 C,24,231.4190052,107.8168792,156.6902379,48.30370458,74.72876729,60.74731563,46.15029979,1074.04,154870.67,0,2435,1074.04,154870.67,0,0
15/9-F-1 C,24,230.7655452,107.7954671,156.6059667,48.17349875,74.15957854,60.62793438,45.73272292,1044.17,147929.93,0,2436,1044.17,147929.93,0,0
