DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,TIME,OIL_RATE,GAS_RATE,WAT_RATE,WAT_CUT
2013-07-24,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,7.0,1.92627,0.3522,26.12304,2.88536,3.256547708333333,%,28.04931,18.19463,18.85147,17.85,2772.47,0.0,2153 days,61.2,9505.611428571428,0.0,0.0
2013-07-25,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,163.59426,60.31574,61.47308,19.46451,8.549130833333333,%,102.12118,36.96744,72.95519,725.0,108940.11,0.0,2154 days,725.0,108940.11000000002,0.0,0.0
2013-07-31,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,5.07514,273.946930842893,105.55136996934074,179.3823446525219,21.55025214031534,2.54080375,%,94.5645861903711,55.95889286005903,66.40376962964568,190.35,29119.73,0.0,2160 days,900.1525081081506,137705.26921424828,0.0,0.0
2013-08-03,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,15.07486,277.7976793115691,104.93321497566147,181.30214076398718,1.6529257983158716,6.116181875,%,96.49553854758187,41.01908329488964,68.44110564543882,590.09,88733.42,0.0,2163 days,939.4554907972613,141268.44826419617,0.0,0.0
2013-08-04,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,273.5943678723404,105.43976510638298,177.39287617021276,17.30885,9.951288085106382,%,96.20149170212765,52.45528659574468,67.94375042553192,1066.46,161227.0,0.0,2164 days,1066.46,161227.0,0.0,0.0
2013-08-05,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,272.2984944680851,105.5378,176.7860780851064,24.749752765957446,9.758748125,%,95.51241638297873,55.18434234042553,67.25804978723404,1059.61,160270.49,0.0,2165 days,1059.61,160270.49,0.0,0.0
2013-08-06,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,271.5609529166667,105.58475020833333,176.51937645833334,28.259281875,9.882110416666666,%,95.04157645833334,57.21400520833333,66.796848125,1070.45,160951.3,0.0,2166 days,1070.45,160951.3,0.0,0.0
2013-08-07,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,271.07159,105.61376416666667,176.328945,22.08659541666667,9.788962708333333,%,94.742645,58.37687208333333,66.511220625,1069.96,160232.47,0.0,2167 days,1069.96,160232.47,0.0,0.0
2013-08-08,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,270.6905247916667,105.639608125,176.17454333333333,22.074765416666665,9.784328333333333,%,94.51598145833333,58.62706729166667,66.28296291666666,1062.22,159483.76,0.0,2168 days,1062.22,159483.76,0.0,0.0
2013-08-09,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,270.2450308333333,105.66749916666667,175.94683479166667,23.18587395833333,9.914905208333334,%,94.29819604166667,57.726496875,66.06279395833333,1074.0,162196.78,0.0,2169 days,1074.0,162196.78,0.0,0.0
2013-08-10,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,269.9931422916667,105.69517666666667,175.93278854166667,24.28408125,9.880803541666667,%,94.06035375,58.426353541666664,65.839664375,1070.3,161999.01,0.0,2170 days,1070.3,161999.01,0.0,0.0
2013-08-11,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,269.95824875,105.71779270833333,175.98917416666666,25.181694375,9.880837083333333,%,93.96907458333334,58.19650708333333,65.426171875,1054.09,160095.11,0.0,2171 days,1054.09,160095.11,0.0,0.0
2013-08-12,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,269.8729,105.74205854166667,176.01286541666667,26.021664791666666,9.84736625,%,93.86003458333333,58.75105333333333,65.15639208333333,1038.69,159050.28,0.0,2172 days,1038.69,159050.28,0.0,0.0
2013-08-13,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,269.560700625,105.77606875,176.00556104166665,26.622704375,9.864827708333333,%,93.55513958333333,58.55149041666667,65.2205325,1050.89,160116.29,0.0,2173 days,1050.89,160116.29,0.0,0.0
2013-08-14,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,269.4122385416667,105.80333041666667,176.18388354166666,27.543482083333334,9.796098125,%,93.228355,58.84924875,64.99050458333333,1044.55,158506.74,0.0,2174 days,1044.55,158506.74,0.0,0.0
2013-08-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,269.36189333333334,105.82360208333333,176.28258291666666,27.968802083333333,9.837349791666666,%,93.07931041666667,57.45699875,64.8185475,1044.6,158971.52,0.0,2175 days,1044.6,158971.52,0.0,0.0
2013-08-16,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,267.6130914583333,105.88560520833333,175.76231208333334,23.733330416666668,9.910574791666667,%,91.850779375,58.584645,63.58307958333334,1075.73,162409.96,0.0,2176 days,1075.73,162409.96,0.0,0.0
2013-08-17,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,266.956849375,105.92475645833333,175.51226416666665,21.240995833333333,10.092222083333333,%,91.44458520833334,57.51755479166667,63.17919083333334,1088.86,165357.19,0.0,2177 days,1088.86,165357.19,0.0,0.0
2013-08-18,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,268.02177333333333,105.90687020833333,176.084756875,20.317337708333334,9.786481458333334,%,91.93701645833333,56.50328520833333,63.66831916666667,1041.92,158398.44,0.0,2178 days,1041.92,158398.44,0.0,0.0
2013-08-19,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,266.02703229166667,105.98230979166667,175.27471416666666,23.008327083333334,9.866035625,%,90.752318125,60.08395479166666,62.489560833333336,1047.06,158556.68,59.06,2179 days,1047.06,158556.68,59.06,0.0533938451524247
2013-08-20,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,266.55975854166667,105.97793729166666,175.553163125,23.036841875,9.813110625,%,91.00659541666667,59.501294791666666,62.764671041666666,1024.24,156092.13,58.7,2180 days,1024.24,156092.13,58.7,0.0542042957135206
2013-08-21,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,266.43023958333333,105.99549020833334,175.57391791666666,23.650002083333334,10.101676041666666,%,90.85632166666667,59.890671875,62.611274791666666,1050.43,160102.74,59.5,2181 days,1050.43,160102.74,59.5,0.05360698422423035
2013-08-22,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,266.41878382978723,106.01224936170213,175.6257455319149,23.81089893617021,10.024740212765957,%,90.79303829787234,60.81466723404255,62.54996659574468,1045.41,158664.64,62.24,2182 days,1045.41,158664.64,62.239999999999995,0.056191035074256296
2013-08-23,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,266.416185625,106.02519395833333,175.6383375,24.031896458333332,10.087653125,%,90.777848125,60.12430479166667,62.539235,1038.88,159070.89,59.27,2183 days,1038.88,159070.89,59.27,0.05397259026544643
2013-08-24,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,266.458694375,106.03570666666667,175.70674125,24.16203375,10.057718958333334,%,90.751953125,59.095772708333335,62.505230625,1030.14,158003.56,60.68,2184 days,1030.14,158003.56,60.68,0.05562787627656258
2013-08-25,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,266.63360708333335,106.040583125,175.83541791666667,24.593934583333333,10.081355,%,90.79818916666666,60.04049166666667,62.551052291666664,1029.58,157310.71,60.86,2185 days,1029.58,157310.71,60.86,0.05581233263636698
2013-08-26,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,266.7567966666667,106.04800041666667,175.93102604166666,24.88270625,10.123797083333333,%,90.825770625,60.18992625,62.57272770833333,1030.05,157362.26,61.34,2186 days,1030.05,157362.26,61.34,0.056203556931985824
2013-08-27,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,19.64181,267.3017906525977,106.05712466544071,176.0990283890232,24.94828474260264,8.399123541666667,%,91.20276226357448,58.26672350715642,62.86377159975583,697.86,108778.94,38.36,2187 days,852.7034932116745,132915.17227791128,46.87144412862155,0.052103990654967264
2013-09-02,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,1.69152,291.2707134048075,103.87251909253216,189.0511822330803,0.0,1.5701879166666666,%,102.2195311717272,23.821341574382803,72.24671800930524,15.16,2666.4,0.89,2193 days,215.09648127128264,37832.009080590244,12.627695800227016,0.05545171339563864
2013-09-03,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,276.028629375,105.60534166666666,182.39138208333333,3.4439520833333335,9.482035833333333,%,93.63724729166667,49.96496583333333,65.02622395833333,940.96,146563.91,54.05,2194 days,940.96,146563.91,54.05,0.054321062099878394
2013-09-04,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,270.21513354166666,105.750261875,177.68150229166667,12.583681875,9.642923333333334,%,92.53363125,55.41731541666667,63.97368625,969.43,151072.95,57.78,2195 days,969.43,151072.95,57.78,0.05624945240019081
2013-09-05,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,267.2551291666667,105.85561770833333,176.55827895833335,17.725504791666665,9.8462925,%,90.69685020833333,58.39754833333333,62.281690833333336,1016.4,157401.48,63.51,2196 days,1016.4000000000001,157401.48,63.50999999999999,0.05881045642692445
